UniqueKey,Date_Test,TesterInitial,Bck_Consent,Bck_UsedService,Bck_Test_Self,Bck_Test_Friends,Bck_Test_Others,Bck_Test_Unk,Bck_Gender,Bck_SubstanceType,Bck_Description,Bck_Sub_Onsite,Bck_Sub_Offsite,Bck_Sub_GroundFind,Bck_Sub_Medical,Bck_Sub_Security,Bck_Sub_Online,Bck_Belief,Bck_Belief_Other,Raman_Consent,Raman_Result_1,Raman_Result_1_clean,Raman_Result_1_Other,Raman_Result_1_Other_clean,Raman_Result_2,Raman_Result_2_clean,Raman_Result_2_Other,Raman_Result_2_Other_clean,Raman_Result_3,Raman_Result_3_clean,Raman_Result_3_Other,Raman_Result_3_Other_clean,Raman_Result_4,Raman_Result_4_clean,Raman_Result_4_Other,Raman_Result_4_Other_clean,MachineCode,Howmany,Fentanyl_Conset,FTIR,Raman,Comments,Positive,Negative,UniqueCode,Color_Consent,Color_Result,Color_Result_2C,Color_Result_Other,Discard_YesMass_Before,Wereyousurprisedbythisresult,Areyousatisfiedwiththedrugcheckingprocess,Basedontheresultwhatwillyoudowithyourdrug,Mass_Comments,Data Entry
750,2017-08-08,SB,0,2,Yes,Yes,No,No,1,0,White crystal powder.,No,Yes,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,4,,No,Yes,No,,No,No,3030,No,,,,1,1,0,0,,Carmen
751,2017-08-08,TE,0,0,Yes,No,No,No,0,0,yellow substance in vial.,No,Yes,No,No,No,No,11,,Yes,IRON OXILATE,OTHER,,IRON OXILATE,CORNSTARTCH,OTHER,,CARBOHYDRATES,FLOUR,OTHER,,CARBOHYDRATES,,,,,3,,No,Yes,No,,No,No,2829,Yes,11,,,0,1,0,4,,Carmen
752,2017-08-08,RH,0,0,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3332,No,,,,1,1,0,0,,Carmen
753,2017-08-08,KL,0,2,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,3,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,3264,No,,,,,1,0,0,,Carmen
754,2017-08-08,HF,0,2,Yes,No,No,No,0,1,8-ball logo on bag slightly tan crushed crystals.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3194,No,,,,1,1,0,2,,Carmen
755,2017-08-08,SB,0,2,Yes,No,No,No,1,0,,Yes,No,No,No,No,No,0,,Yes,MDEA,OTHER,,,,,,,,,,,,,,,5,,Yes,Yes,No,Probably mdma,No,Yes,3215,No,,,,1,0,0,0,,Carmen
756,2017-08-08,HF,0,2,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,10,,Yes,7,OTHER,DMT,DMT,,,,,,,,,,,,,3,,Yes,Yes,No,dmt plus unknown misture.,No,Yes,3222,No,,,,1,1,0,0,,Carmen
757,2017-08-08,AD/KG,0,2,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,MDPV,OTHER,,MDPV,METHYLENEDIOXY,OTHER,,METHYLENEDIOXY,,,,,,,,,4,10,No,Yes,No,,No,No,3218,No,,,,1,0,0,2,,Carmen
758,2017-08-08,AD/KG,0,0,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,,,Yes,COCAINE,COCAINE,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3229,No,,,,1,0,0,0,,Carmen
759,2017-08-08,,0,0,Yes,No,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,MDA,MDA,,,MDEA,OTHER,,MDEA,,,,,,,,,4,,Yes,Yes,No,,No,Yes,,No,,,,1,1,0,0,,Carmen
760,2017-08-08,SB,0,0,Yes,Yes,No,No,1,0,,No,Yes,No,No,No,No,3,,Yes,PHENACETIN,OTHER,,PHENACETIN,COCAINE,COCAINE,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3226,No,,,,1,0,1,2,Process took too long (software crashed),Carmen
761,2017-08-08,AD,0,0,Yes,No,No,No,1,0,,No,Yes,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,4,,No,Yes,No,,No,No,3210,Yes,3,,,1,1,0,0,,Carmen
762,2017-08-08,HF,0,2,Yes,Yes,No,No,1,0,,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,mdma no cuts.,No,Yes,3313,No,,,,1,1,0,0,,Carmen
763,2017-08-08,HF,0,0,Yes,No,No,No,0,0,,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,No,Yes,No,,No,No,3704,No,,,,1,1,0,0,,Carmen
764,2017-08-08,NONE,0,,Yes,Yes,No,No,,0,,No,Yes,No,No,No,No,0,,No,1,MDMA,,,,,,,,,,,,,,,3,1,Yes,Yes,No,Crystal mdma,No,Yes,3697,No,,,,1,1,,0,,Carmen
765,2017-08-12,JE,0,0,Yes,No,No,No,0,1,brownish color,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,1264,No,,,,1,1,0,0,,Carmen
766,2017-08-12,NONE,0,2,Yes,Yes,No,No,0,0,green/brown crystals in clear baggy.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,"Low confidence sample, many unknown cuts detected.",No,Yes,2108,No,,,,0,1,0,4,,Carmen
767,2017-08-12,GF,0,2,Yes,No,No,No,0,0,yellow bag with black spides black spots.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,No,Yes,No,some adulterant unknow detected.,No,No,1262,No,,,,1,1,0,7,Other: tale by itsself.,Carmen
768,2017-08-12,NONE,0,2,Yes,No,No,No,1,0,white powder.,No,Yes,No,No,No,No,3,,Yes,3,COCAINE,,,7,OTHER,INOSITOL,INOSITOL,,,,,,,,,4,,Yes,Yes,No,,No,Yes,1263,No,,,,1,0,0,7,Other: save for later.,Carmen
769,2017-08-12,MM,0,2,Yes,No,No,No,1,,black powder.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,1266,No,,,,1,1,0,0,,Carmen
770,2017-08-12,MM,0,0,Yes,No,No,No,0,0,brown/greyish powder,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,Some adulterants may be present.,No,Yes,1173,No,,,,1,1,0,2,,Carmen
771,2017-08-12,GF,0,0,Yes,No,No,No,0,0,brown/grey powder,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,1174,No,,,,1,1,0,2,,Carmen
772,2017-08-12,MM,0,2,Yes,No,No,No,1,1,white powder.,Yes,No,No,No,No,No,0,,Yes,2,MDA,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,1265,No,,,,1,0,0,7,Other: not sure yet.,Carmen
773,2017-08-12,JE,0,1,No,Yes,No,No,0,0,clear gel caps with white powder.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,no cuts.,No,Yes,1178,No,,,,1,1,0,7,Other: give back to friend.,Carmen
774,2017-08-12,JE,0,0,Yes,No,No,No,4,1,Green gel cap.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,no cuts.,No,Yes,1614,No,,,,1,0,0,5,,Carmen
775,2017-08-12,JE,0,0,No,Yes,No,No,1,0,"White solid rock, green weed leaves bag.",Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,1672,No,,,,1,1,0,0,,Carmen
776,2017-08-12,JE,0,0,Yes,No,No,No,1,0,Yellow/orange crystals black spades bag.,Yes,No,No,No,No,No,10,,Yes,7,OTHER,DMT,DMT,,,,,,,,,,,,,2,,Yes,No,No,No cuts.,No,Yes,1671,No,,,,1,1,0,0,,Carmen
777,2017-08-12,JE,0,0,Yes,No,No,No,,0,,No,Yes,No,No,No,No,11,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,No,Yes,No,No cuts.,No,No,1767,No,,,,1,0,0,2,,Carmen
778,2017-08-12,GF,0,0,Yes,No,No,No,0,0,red bulldog with white powder.,No,No,Yes,No,No,No,11,,Yes,3,COCAINE,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,1766,No,,,,1,1,0,7,"Other: might take it, might trade it.",Carmen
779,2017-08-11,SB,0,0,Yes,Yes,No,No,1,0,Black baggie with white skulls off white powder.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2798,No,,,,1,0,0,1,,Carmen
780,2017-08-12,SB,0,2,Yes,Yes,No,No,1,0,Powder with few crystals in it. In some capsules. Red lips bag.,Yes,No,No,No,No,No,0,,Yes,2,MDA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2046,No,,,,1,0,0,2,,Carmen
781,2017-08-11,FB,0,1,Yes,Yes,No,No,0,0,Clearish crystals in small baggie.,Yes,No,No,No,No,No,0,,Yes,2,MDA,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2062,No,,,,1,1,0,0,,Carmen
782,2017-08-11,FB,0,1,Yes,No,No,No,0,0,White powder.,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2178,No,,,,1,0,0,0,,Carmen
783,2017-08-11,NONE,0,1,Yes,No,No,No,0,0,brown mdma in a small bag with 8 ball on it.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2177,No,,,,1,0,0,0,,Carmen
784,2017-08-11,SB,,0,Yes,No,No,No,1,2,Orange triangular pill with stamped telsa logo.,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,8,NO MATCH,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2800,No,,,,1,1,0,0,sample entered into data as 2800b,Carmen
785,2017-08-11,SB,0,0,Yes,Yes,No,No,1,2,white powder in gel caps.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,8,NO MATCH,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2799,No,,,,1,1,0,0,Spectrum saved as 2800,Carmen
786,2017-08-11,KM,0,3,No,Yes,No,No,0,0,Large slightly yellow crystals.,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,8,NO MATCH,,,,,,,,,,,4,2,Yes,Yes,No,,No,Yes,2782,No,,,,1,1,0,0,,Carmen
787,2017-08-11,SB,0,0,No,Yes,No,No,3,0,Baggie with brown and white.,No,Yes,No,No,No,No,0,,Yes,2,MDA,,,,,,,,,,,,,,,4,,No,Yes,No,,No,No,2041,No,,,,0,1,0,4,,Carmen
788,2017-08-11,SB,0,0,No,Yes,No,No,3,1,baggie with pwd brown and white,No,Yes,No,No,No,No,0,,Yes,2,MDA,,,8,NO MATCH,,,,,,,,,,,4,1,Yes,Yes,No,,No,Yes,2040,No,,,,0,1,0,4,,Carmen
789,2017-08-11,SB,0,2,Yes,No,No,No,0,0,White crystals in a clear bag.,No,Yes,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2764,No,,,,1,1,0,0,,Carmen
790,2017-08-11,HM,0,2,Yes,Yes,No,No,0,0,5 capsules of white powder in a small clear baggie.,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,4,1,Yes,Yes,No,,No,Yes,2054,No,,,,1,1,0,0,,Carmen
791,2017-08-08,NE,1,2,Yes,Yes,No,No,1,0,,No,Yes,No,No,No,No,0,,No,1,MDMA,,,,,,,,,,,,,,,4,2,Yes,Yes,No,,No,Yes,3234,No,,,,1,1,0,0,,Carmen
792,2017-08-08,NE,0,2,Yes,Yes,No,No,0,0,,Yes,No,No,No,No,No,3,,No,3,COCAINE,,,7,OTHER,INISTOLE,INOSITOL,,,,,,,,,4,2,Yes,No,No,,No,Yes,3233,No,,,,,1,0,0,,Carmen
793,2017-08-08,SB,0,0,Yes,Yes,No,No,1,0,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3722,No,,,,1,1,0,0,,Carmen
794,2017-08-08,SB,0,2,Yes,Yes,No,No,1,0,,No,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3683,No,,,,1,1,0,0,,Carmen
795,2017-08-08,ALEX,0,2,Yes,Yes,No,No,0,0,,No,No,No,No,No,No,0,,Yes,7,OTHER,SAFROLE,SAFROLE,1,MDMA,,,,,,,,,,,4,4,Yes,Yes,No,,No,Yes,3251,No,,,,1,0,0,1,,Carmen
796,2017-08-12,MW,0,2,Yes,Yes,No,No,0,0,Crystals in gel cap (light brown).,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,1194,No,,,,1,1,0,0,,Carmen
797,2017-08-12,MW,0,2,Yes,No,No,No,0,0,White crstals in black samurai bag.,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,1195,No,,,,1,1,0,0,,Carmen
798,2017-08-07,KG,0,0,Yes,Yes,No,No,0,0,,No,Yes,No,No,No,No,0,,Yes,MDMA,MDMA,,,MDA,MDA,,,MDEA,OTHER,,MDEA,,,,,5,,Yes,No,Yes,,No,Yes,3370,No,,,,1,1,1,0,,Carmen
799,2017-08-07,AQ,0,0,Yes,No,No,No,1,0,fine white powder.,No,No,Yes,No,No,No,11,,Yes,3,COCAINE,,,,,,,,,,,,,,,5,,Yes,No,Yes,,No,Yes,3379,No,,,,1,1,0,7,Other: gifting the drugs away.,Carmen
800,2017-08-07,KG/AQ,0,0,Yes,Yes,No,No,0,0,Green marijuana bags.,Yes,No,No,No,No,No,2,,No,KETAMINE,KETAMINE,,,,,,,,,,,,,,,5,,Yes,No,No,,No,Yes,3372,No,,,,1,1,0,0,,Carmen
801,2017-08-07,JE,0,0,No,No,Yes,No,0,0,white powder.,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,3377,No,,,,1,0,0,1,,Carmen
802,2017-08-08,SB,0,0,Yes,No,No,No,0,0,2cb,Yes,No,No,No,No,No,6,,Yes,7,OTHER,2CB OR 2CI,2Cx,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,3411,No,,,,1,1,,2,,Carmen
803,2017-08-08,LP,0,0,Yes,No,No,No,0,1,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,8,NO MATCH,,,,,,,,,,,5,,Yes,Yes,Yes,Raman was inconclusive.,No,Yes,3685,No,,,,1,1,0,0,,Carmen
804,2017-08-08,LP+SB,0,0,No,No,No,No,0,1,,No,Yes,No,No,No,No,0,,Yes,1,MDMA,,,7,OTHER,SAFROLE,SAFROLE,,,,,,,,,5+4,,Yes,Yes,Yes,Ramen inconclusive.,No,Yes,3686,No,,,,1,1,0,2,,Carmen
1,2017-08-10,EGAM,0,0,Yes,No,Yes,No,0,0,tan crystal,Yes,No,No,No,No,No,0,,No,MDMA,MDMA,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2549,No,,,,1,1,0,0,,Emily 
2,2017-08-10,EGAM,0,0,Yes,No,Yes,No,0,0,white crystal powder,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,1,3,Yes,Yes,No,,No,Yes,2548,No,,,,1,1,0,0,,Emily 
3,2017-08-11,KL,0,0,Yes,No,No,No,0,0,Clear baggy,No,No,Yes,No,No,No,0,,Yes,1,MDMA,,,3,COCAINE,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2757,No,,,,1,1,0,5,,Emily 
4,2017-08-11,MW,0,1,Yes,No,No,No,,0,"Clear bag, purple crystals",Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2806,No,,,,,1,0,1,,Emily 
5,2017-08-11,MW,0,1,Yes,No,No,No,0,0,White powder with clumps,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2807,No,,,,,1,0,0,,Emily 
6,2017-08-11,EG,0,0,Yes,Yes,No,No,0,0,Crushed crystals in baggie with money bags,Yes,No,No,No,No,No,2,,Yes,KETAMINE 70%,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2796,No,,,,,0,0,0,,Emily 
7,2017-08-11,MW,,2,No,No,No,No,0,0,"Medium fine beige powder. Clear cap inside ""smoke and fly"" branded baggy",Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2780,No,,,,,1,0,0,,Emily 
8,2017-08-11,MW,0,1,Yes,No,No,No,0,1,White powder,No,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2808,No,,,,,0,0,0,,Emily 
9,2017-08-11,RM,0,2,Yes,No,No,No,1,0,white powder,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,MDA,MDA,,,,,,,,,,,3,,Yes,No,No,,No,Yes,2779,No,,,,1,1,0,2,,Emily 
10,2017-08-11,KL,0,,No,No,No,No,0,0,"White bag, white substances",No,Yes,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,1,,No,Yes,No,,No,No,2038,No,,,,1,1,0,0,,Emily 
11,2017-08-11,FB,0,2,Yes,Yes,No,No,0,0,"Clear powder, purple baggy",No,Yes,No,No,No,No,3,,Yes,COCAINE,COCAINE,,,,,,,,,,,,,,,1,,No,Yes,No,,No,No,2074,No,,,,1,1,0,0,,Emily 
12,2017-08-11,KL,0,2,Yes,No,No,No,0,1,Clear brown crystal in a gel cap in clear bag with red lips,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2771,No,,,,1,1,0,0,,Emily 
13,2017-08-11,RH,0,2,Yes,Yes,No,No,1,0,White powder in a yellow baggy with hazard signs,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,1243,No,,,,1,0,0,0,,Emily 
14,2017-08-11,RH,0,2,Yes,Yes,No,No,1,1,Brown powder in a gel cap,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,1242,No,,,,1,0,0,0,,Emily 
15,2017-08-11,RH,0,2,Yes,No,No,No,0,1,Brown crystals in a gel cap,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,No,Yes,No,,No,No,2775,Yes,,,,1,1,0,0,,Emily 
16,2017-08-11,SB,0,1,Yes,Yes,No,No,,0,purple,No,Yes,No,No,No,No,0,,No,MDMA,MDMA,,,NO MATCH,NO MATCH,,,,,,,,,,,,,Yes,No,No,,No,Yes,2770,No,,,,1,1,0,0,,Emily 
17,2017-08-11,EG,0,0,No,No,No,No,0,1,"Clear bag, clear gel cap of white/grey powder",Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2792,No,,,,,0,0,5,,Emily 
18,2017-08-11,EG,0,2,Yes,Yes,No,No,0,0,white powder in a capsule,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,1,Yes,Yes,No,,No,Yes,2768,No,,,,,1,0,0,,Emily 
19,2017-08-11,KM,0,2,Yes,Yes,No,No,0,0,off white colour,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,4,,Yes,Yes,No,,No,Yes,2763,No,,,,1,1,0,0,,Emily 
20,2017-08-11,EG,0,0,No,No,Yes,No,0,0,white baggy with 4 weed symbols with free pesticide lettering. white/grey powder,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2793,No,,,,,0,0,1,,Emily 
21,2017-08-11,RH,0,,Yes,Yes,No,No,0,1,black and white powder,No,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,2,Yes,Yes,No,,No,Yes,2762,No,,,,1,1,0,0,,Emily 
22,2017-08-11,MW,,0,Yes,No,No,No,1,0,white crystal powder in a purple baggy,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2783,No,,,,,1,0,0,,Emily 
23,2017-08-11,MW,0,0,Yes,No,No,No,0,0,white powder in gel caps,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2755,No,,,,,0,0,7,,Emily 
24,2017-08-11,HF,0,0,Yes,No,No,No,0,0,White crystal and powder in pink baggy,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,2277,No,,,,1,1,0,0,,Emily 
25,2017-08-11,HF,0,0,Yes,No,No,No,0,0,white rock/powder,No,Yes,No,No,No,No,3,,Yes,COCAINE,COCAINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,no cuts detected,No,Yes,2278,No,,,,1,1,0,0,,Emily 
26,2017-08-11,HF,0,0,Yes,No,No,No,0,0,white crystal/powder,Yes,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,2276,No,,,,,1,0,0,,Emily 
27,2017-08-11,HF,0,0,Yes,No,No,No,0,0,Black baggy wiht chunks and crystals,Yes,No,No,No,No,No,0,,Yes,MDA,MDA,,,,,,,,,,,,,,,3,,Yes,Yes,No,no detectable cuts,No,Yes,2013,No,,,,1,0,0,7,,Emily 
28,2017-08-10,JE,0,0,Yes,No,Yes,No,0,0,tan crystals in green baggy,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,no detectable cuts,No,Yes,2583,No,,,,1,1,0,0,,Emily 
29,2017-08-10,JE,0,2,Yes,No,Yes,No,1,1,white powder,Yes,No,No,No,No,No,0,,Yes,MDA,MDA,,,MDMA,MDMA,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2599,No,,,,1,1,0,0,,Emily 
30,2017-08-10,JE,0,2,Yes,No,No,No,0,0,white powder with chunks,Yes,No,No,No,No,No,3,,Yes,COCAINE,COCAINE,,,,,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2624,No,,,,1,0,0,0,,Emily 
31,2017-08-10,IGAM,0,2,Yes,No,No,No,0,1,brown chunks/crystals in large caps,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,4,METHAMPHETAMINE,,,,,,,,,,,1,,Yes,Yes,No,,No,Yes,2623,No,,,,1,0,0,0,,Emily 
32,2017-08-10,IG,0,0,Yes,Yes,No,No,1,0,white powder,No,No,No,No,No,No,2,,Yes,KETAMINE,KETAMINE,,,,,,,,,,,,,,,1,1,Yes,Yes,No,high purity. flat residual,No,Yes,2581,No,,,,1,1,0,0,,Emily 
33,2017-08-10,AQ,0,2,Yes,Yes,No,No,1,0,brown crystals in a green bag with dollar signs,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,1,No,Yes,No,no determable cuts,No,No,2619,No,,,,,1,0,0,,Emily 
34,2017-08-10,AQ,0,2,Yes,Yes,No,No,1,1,off white powder,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,1,Yes,Yes,No,no determable,No,Yes,2633,No,,,,1,1,0,0,,Emily 
35,2017-08-10,IGAM,0,0,Yes,No,No,No,1,0,White powder,No,Yes,No,No,No,No,2,,Yes,NOVACAINE 70%,OTHER,,NOVACAINE,KETAMINE 30%,KETAMINE,,,,,,,,,,,3,,Yes,Yes,No,no determinable cuts,No,Yes,2486,No,,,,1,1,0,7,,Emily 
36,2017-08-10,AQ,0,2,Yes,No,No,No,0,1,white powder,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,no determinale cuts,No,Yes,2634,No,,,,1,1,0,0,,Emily 
37,2017-08-10,AQ,0,0,Yes,Yes,No,No,0,0,white crystals,Yes,No,No,No,No,No,0,,Yes,MDA,MDA,,,OTHER,OTHER,,,,,,,,,,,3,1,Yes,Yes,No,MDEA,No,Yes,2640,No,,,,1,1,0,0,,Emily 
38,2017-08-10,IG,0,2,Yes,No,No,No,1,0,,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,3,,Yes,Yes,No,,No,Yes,4035,No,,,,1,,,,,Emily 
39,2017-08-10,JE,0,2,Yes,Yes,No,No,0,0,white powder,Yes,No,No,No,No,No,3,,Yes,3,COCAINE,,,,,,,,,,,,,,,2,2,Yes,Yes,No,,No,Yes,2604,No,,,,1,1,0,1,,Emily 
40,2017-08-10,JE,0,2,Yes,Yes,No,No,1,0,tan crystal in a yellow hazard bag,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,2,Yes,Yes,No,,No,Yes,2601,No,,,,1,1,0,0,,Emily 
41,2017-08-10,JE,0,2,Yes,No,No,No,0,1,brown crystal,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2616,No,,,,1,1,0,0,,Emily 
42,2017-08-10,JE,0,1,Yes,Yes,No,No,0,0,white grey crystal,Yes,No,No,No,No,No,0,,Yes,1,MDMA,,,,,,,,,,,,,,,2,2,Yes,Yes,No,,No,Yes,2620,No,,,,1,1,0,0,,Emily 
43,2017-08-10,JE,0,2,Yes,Yes,No,No,0,1,large capsule filled with brown crystals,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,2,Yes,Yes,No,,No,Yes,2622,No,,,,1,1,0,0,,Emily 
44,2017-08-10,RA,0,2,No,No,No,No,0,1,large capsule filled with off white crystals,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2628,No,,,,1,1,0,5,,Emily 
45,2017-08-10,RA,0,2,Yes,No,No,No,1,0,white powder in a ying yang bag,Yes,No,No,No,No,No,2,,Yes,6,KETAMINE,,,,,,,,,,,,,,,2,,Yes,Yes,No,,No,Yes,2632,No,,,,1,1,0,0,,Emily 
46,2017-08-10,RA,0,2,Yes,Yes,No,No,1,1,off white crystal,Yes,No,No,No,No,No,0,,Yes,MDMA,MDMA,,,,,,,,,,,,,,,2,1,Yes,Yes,No,no detectable cuts,No,Yes,2636,No,,,,1,1,0,0,,Emily 
47,2017-08-10,RA,0,2,Yes,Yes,No,No,1,1,white powder,Yes,No,No,No,No,No,0,,Yes,MDA,MDA,,,,,,,,,,,,,,,2,1,Yes,Yes,No,,No,Yes,2635,No,,,,1,1,0,0,,Emily 
